City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Leningradskiy,RU,69.3833,178.4167,-4.02,97,100,5.3,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,56.86,38,0,5.75,clear sky
2,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,58,13.4,light rain
3,Saint George,US,37.1041,-113.5841,36.79,68,100,3.44,overcast clouds
4,Dabhol,IN,17.6,73.1667,75.33,64,22,6.33,few clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,85,40,5.75,scattered clouds
6,Butaritari,KI,3.0707,172.7902,79.56,74,100,10.54,overcast clouds
7,Atuona,PF,-9.8,-139.0333,77.86,70,5,18.52,clear sky
8,Petatlan,MX,17.5167,-101.2667,76.8,76,18,0.29,few clouds
9,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,100,40.29,mist
10,Nome,US,64.5011,-165.4064,23.07,63,0,16.11,clear sky
11,Mayo,US,38.8876,-76.5119,48.11,64,100,18.41,overcast clouds
12,Cherskiy,RU,68.75,161.3,-23.26,98,81,4.97,broken clouds
13,Nagua,DO,19.3832,-69.8474,82.45,74,40,6.91,scattered clouds
14,Roma,US,43.2128,-75.4557,40.73,88,100,6.91,light rain
15,Tiksi,RU,71.6872,128.8694,-20.72,100,100,3.49,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,74.52,88,87,17.58,overcast clouds
17,Carnarvon,AU,-24.8667,113.6333,67.96,75,0,26.35,clear sky
18,Baoning,CN,25.3378,110.026,66.06,55,0,6.71,clear sky
19,Mount Isa,AU,-20.7333,139.5,74.97,100,69,1.14,light rain
20,Mataura,NZ,-46.1927,168.8643,43.27,99,85,3.58,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,59.11,41,0,18.41,clear sky
22,Faanui,PF,-16.4833,-151.75,71.71,86,100,2.68,light rain
23,Skibbereen,IE,51.55,-9.2667,55.11,84,100,10.74,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,69.8,69,0,10.29,clear sky
25,Cayenne,GF,4.9333,-52.3333,86.04,74,75,9.22,broken clouds
26,Hilo,US,19.7297,-155.09,69.24,78,0,5.75,clear sky
27,Hokitika,NZ,-42.7167,170.9667,53.22,87,0,4.29,clear sky
28,Nikolskoye,RU,59.7035,30.7861,42.8,70,100,7.9,overcast clouds
29,Vaini,TO,-21.2,-175.2,76.42,84,100,21.16,light rain
30,Prince Rupert,CA,54.3161,-130.3201,44.29,87,100,19.57,overcast clouds
31,Sitka,US,57.0531,-135.33,48.09,93,100,9.22,moderate rain
32,Kijang,KR,35.2442,129.2139,56.93,71,100,20.58,overcast clouds
33,Benguela,AO,-12.5763,13.4055,78.8,61,49,11.65,scattered clouds
34,Castro,BR,-24.7911,-50.0119,80.44,47,39,11.1,scattered clouds
35,Bluff,NZ,-46.6,168.3333,47.43,82,40,11.43,scattered clouds
36,Baykit,RU,61.67,96.37,4.37,95,100,7.2,light snow
37,Ponta Do Sol,PT,32.6667,-17.1,78.71,77,73,1.01,broken clouds
38,Hasaki,JP,35.7333,140.8333,63.0,89,76,17.13,broken clouds
39,Tasiilaq,GL,65.6145,-37.6368,41.16,62,100,22.44,overcast clouds
40,Cidreira,BR,-30.1811,-50.2056,71.91,80,100,19.08,overcast clouds
41,Greensburg,US,40.3015,-79.5389,37.15,84,100,11.5,overcast clouds
42,Lake City,US,30.1897,-82.6393,60.85,82,100,10.36,overcast clouds
